,fips,abbr,full,pop_2015
1,1,AL,Alabama,54100
2,2,AK,Alaska,7200
3,4,AZ,Arizona,77000
4,5,AR,Arkansas,32800
5,6,CA,California,427700
6,8,CO,Colorado,56800
7,9,CT,Connecticut,35900
8,10,DE,Delaware,9700
9,11,DC,District of Columbia,7500
10,12,FL,Florida,223900
11,13,GA,Georgia,110200
12,15,HI,Hawaii,14000
13,16,ID,Idaho,16800
14,17,IL,Illinois,136600
15,18,IN,Indiana,69500
16,19,IA,Iowa,31400
17,20,KS,Kansas,29900
18,21,KY,Kentucky,49500
19,22,LA,Louisiana,54900
20,23,ME,Maine,14100
21,24,MD,Maryland,59900
22,25,MA,Massachusetts,71600
23,26,MI,Michigan,108900
24,27,MN,Minnesota,53700
25,28,MS,Mississippi,35700
26,29,MO,Missouri,61200
27,30,MT,Montana,10800
28,31,NE,Nebraska,19600
29,32,NV,Nevada,31600
30,33,NH,New Hampshire,13100
31,34,NJ,New Jersey,92700
32,35,NM,New Mexico,23200
33,36,NY,New York,215200
34,37,NC,North Carolina,110100
35,38,ND,North Dakota,7300
36,39,OH,Ohio,126400
37,40,OK,Oklahoma,41100
38,41,OR,Oregon,42900
39,42,PA,Pennsylvania,133000
40,44,RI,Rhode Island,11100
41,45,SC,South Carolina,53400
42,46,SD,South Dakota,8900
43,47,TN,Tennessee,73900
44,48,TX,Texas,292900
45,49,UT,Utah,29300
46,50,VT,Vermont,6300
47,51,VA,Virginia,84800
48,53,WA,Washington,74600
49,54,WV,West Virginia,21500
50,55,WI,Wisconsin,59600
51,56,WY,Wyoming,5900